model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expanded kl
ConvNN-87k,87930.0,last_layer,kron,1.0,0.6159,0.85254,1.334717,1.3532168,0.4554598,0.46144974,0.5097078125,0.5123278282546997,0.0508780859375,1010,1.3591176608004127,865.6074265446795,4.167971611022949,199994.03,270949.8125,12.279189109802246,43276948.0
ConvNN-100k,100421.0,last_layer,kron,1.0,0.6242,0.87446,1.397126,1.419584,0.3996132,0.40573397,0.4574479296875,0.460159705209732,0.054425732421875,1100,1.4260753454719604,988.845198946612,4.959979057312012,199998.48,284224.0625,12.800187110900879,49438536.0
ConvNN-118k,118551.0,last_layer,kron,1.0,0.6393,0.9249,1.4783568,1.5094643,0.26676315,0.2720432,0.32569501953125,0.3286706202220917,0.056627421875,1180,1.514886086084281,1168.300349739081,6.652370452880859,199997.19,301804.65625,13.398056030273438,58411004.0
ConvNN-138k,138364.0,last_layer,kron,1.0,0.6327,0.94504,1.6039492,1.6448318,0.21609692,0.22125709,0.2764620703125,0.2804009382247925,0.05914384765625,1270,1.6533085044546707,1364.183503827944,8.228654861450195,199995.45,329290.0,13.938636779785156,68204840.0
ConvNN-153k,153738.0,last_layer,kron,1.0,0.6457,0.95634,1.5710701,1.618909,0.18461217,0.18941014,0.24629685546875,0.2497654378843307,0.060355302734375,1350,1.6283851768465318,1516.0720730544065,8.319150924682617,199994.69,324152.3125,14.582383155822754,75799056.0
ConvNN-175k,175981.0,last_layer,kron,1.0,0.6481,0.96986,1.6818389,1.7400702,0.1500698,0.15457267,0.214035234375,0.2174453903007507,0.062872724609375,1430,1.747922561150982,1736.1103512418454,9.980836868286133,199996.02,347841.4375,14.721736907958984,86800624.0
ConvNN-193k,193491.0,last_layer,kron,1.0,0.6472,0.9776,1.7716705,1.8452764,0.1266894,0.1309211,0.19151837890625,0.1948810077190399,0.063959912109375,1520,1.8578021754399867,1909.0971381650838,11.463332176208496,199998.64,369648.8125,15.218559265136719,95449736.0
ConvNN-218k,218355.0,last_layer,kron,1.0,0.6523,0.98936,1.8164045,1.9189668,0.08752903,0.091398075,0.153450546875,0.156804422879219,0.06540634765625,1600,1.9288624716096063,2155.183026318394,13.183871269226074,199996.47,383610.5,15.553604125976562,107753712.0
ConvNN-244k,244962.0,last_layer,kron,1.0,0.647,0.99602,2.0133314,2.15742,0.06320278,0.06683514,0.127344130859375,0.1311067637658119,0.06427162109375,1690,2.1673356678277296,2418.454517021645,15.973947525024414,199997.06,431042.3125,16.3359375,120917080.0
ConvNN-265k,265295.0,last_layer,kron,1.0,0.652,0.997,1.9439713,2.1015112,0.05877269,0.06266317,0.122383173828125,0.1261605749416351,0.0634974072265625,1770,2.11470967245346,2619.450242722292,15.252176284790039,199997.14,420316.43750000006,16.759761810302734,130966704.0
