label,map_acc_test,map_nll_test,bayes_loss_test,gibbs_loss_test,bayes_loss_train,gibbs_loss_train,bma_acc_test,bma_acc_train,kl,inverse_rate,variance
ConvNN-193k,0.6464,1.8217490692138671,1.5934902429580688,1.8561251163482666,0.14512935280799866,0.16925948858261108,0.6492,0.9778,967221.1875,1.8576623228564209,11.44173812866211
ConvNN-218k,0.6538,1.8899871337890626,1.6143648624420166,1.9151227474212646,0.11119627207517624,0.13091260194778442,0.658,0.9892,1091549.5,1.9158988770702672,12.971646308898926
ConvNN-244k,0.6476,2.11769765625,1.775385856628418,2.139653444290161,0.08546701073646545,0.10274551808834076,0.6485,0.9946,1224616.0,2.1405608288996825,15.571943283081055
ConvNN-265k,0.654,2.06152919921875,1.7109084129333496,2.0717456340789795,0.08330877870321274,0.10057439655065536,0.6581,0.9948,1326289.0,2.0731040500333586,14.650026321411133
ConvNN-294k,0.6454,2.1772250091552734,1.7750600576400757,2.175225257873535,0.07213106006383896,0.08744266629219055,0.6521,0.997,1471173.75,2.1753130763072837,16.081127166748047
ConvNN-316k,0.6471,2.3030639221191405,1.858177661895752,2.299201250076294,0.0586806982755661,0.07152163237333298,0.6499,0.9988,1583848.875,2.302725703909743,18.651046752929688
ConvNN-348k,0.6606,2.214101858520508,1.770337700843811,2.203439474105835,0.05430903285741806,0.06627711653709412,0.6649,0.9986,1741864.0,2.202904160546872,17.561447143554688
ConvNN-381k,0.6725,2.177827249145508,1.7342643737792969,2.1703693866729736,0.04144538566470146,0.05017005279660225,0.6725,0.9998,1909023.25,2.170174422746999,17.723594665527344
ConvNN-407k,0.6678,2.1463000244140624,1.6985681056976318,2.1273701190948486,0.04422147572040558,0.05368558317422867,0.6733,0.9998,2035426.25,2.1271516795970338,16.71323585510254
ConvNN-442k,0.6594,2.2691788177490233,1.7915654182434082,2.2456817626953125,0.041510265320539474,0.05049818754196167,0.6629,0.9998,2213984.25,2.248250345254633,18.10780143737793
ConvNN-470k,0.6692,2.228847738647461,1.7463692426681519,2.2059836387634277,0.042193833738565445,0.051476072520017624,0.6724,1.0,2351659.75,2.207463198236456,17.952611923217773
ConvNN-508k,0.6682,2.227234390258789,1.7432494163513184,2.2001733779907227,0.03972706198692322,0.0484609417617321,0.6743,1.0,2543329.0,2.1975023794150643,17.98292350769043
ConvNN-548k,0.6675,2.182845901489258,1.710983157157898,2.1510400772094727,0.035080596804618835,0.0421161949634552,0.6729,1.0,2744286.0,2.1486227689357484,17.259084701538086
ConvNN-579k,0.6765,2.08930559387207,1.6599442958831787,2.0802698135375977,0.03519124910235405,0.04213939607143402,0.6774,1.0,2895535.25,2.0788747193169828,16.704166412353516
ConvNN-621k,0.6816,2.023058120727539,1.6092053651809692,2.0203630924224854,0.03372979536652565,0.040215954184532166,0.6848,1.0,3107812.75,2.0239257544189773,15.67905044555664
ConvNN-654k,0.6721,2.131961920166016,1.7032700777053833,2.1274936199188232,0.03415431082248688,0.040668588131666183,0.6761,1.0,3270576.75,2.1263990424050547,17.36081886291504
ConvNN-699k,0.667,2.130749676513672,1.6945542097091675,2.1264281272888184,0.03300616517663002,0.039118003100156784,0.6666,1.0,3495794.25,2.1304751747519126,16.365352630615234
ConvNN-746k,0.6803,1.9820286682128907,1.5807063579559326,1.981665015220642,0.03283875435590744,0.038816384971141815,0.6856,1.0,3730729.25,1.983427526740836,15.021303176879883
ConvNN-781k,0.6844,1.9495119018554687,1.5752618312835693,1.9719685316085815,0.03252461925148964,0.03840942680835724,0.6865,0.9998,3906797.25,1.9696862994087894,15.038020133972168
ConvNN-830k,0.6758,2.013829067993164,1.6157920360565186,2.019683837890625,0.032432347536087036,0.03829185292124748,0.6783,1.0,4152688.25,2.0190496910868254,15.198585510253906
ConvNN-868k,0.6858,1.9113317138671875,1.5320112705230713,1.9186911582946777,0.031061341986060143,0.03632291033864021,0.6892,0.9998,4340656.0,1.9166329890057217,14.575697898864746
ConvNN-919k,0.6851,1.9168163818359376,1.5476590394973755,1.9253275394439697,0.02979234792292118,0.03447120636701584,0.6878,1.0,4599658.5,1.9291120943832154,14.402009010314941
ConvNN-973k,0.6861,1.8912613525390625,1.5326892137527466,1.9058637619018555,0.029680080711841583,0.03443484380841255,0.6884,1.0,4868592.0,1.905276507364376,14.062000274658203
ConvNN-1013k,0.6895,1.867256787109375,1.5000858306884766,1.8787102699279785,0.030471572652459145,0.03553801029920578,0.6923,1.0,5069367.0,1.8789813002605633,13.761507987976074
ConvNN-1069k,0.6899,1.8384931823730468,1.4767780303955078,1.8487972021102905,0.030566057190299034,0.0355181023478508,0.6947,1.0,5348929.0,1.8473684867047417,13.201150894165039
ConvNN-1112k,0.6878,1.794742514038086,1.4510377645492554,1.818595290184021,0.029324010014533997,0.03384730964899063,0.6907,1.0,5561981.5,1.821683568489882,12.702320098876953
ConvNN-1170k,0.6966,1.7825229064941406,1.438003659248352,1.8001866340637207,0.030248336493968964,0.03492235764861107,0.6983,1.0,5854702.5,1.8027808738320439,13.11978530883789
ConvNN-1231k,0.6905,1.8241844116210937,1.478062391281128,1.8431586027145386,0.029783325269818306,0.03452710807323456,0.6916,1.0,6157659.0,1.8437120247326333,13.492742538452148
ConvNN-1276k,0.6821,1.8320535888671876,1.4873515367507935,1.8622390031814575,0.028897127136588097,0.03333406150341034,0.6872,1.0,6383298.0,1.8625667654300577,13.620920181274414
ConvNN-1339k,0.6911,1.7982964416503906,1.4513399600982666,1.8117612600326538,0.029075829312205315,0.03373293951153755,0.6953,1.0,6696504.5,1.8138657849828201,13.322336196899414
ConvNN-1386k,0.6973,1.7600750610351563,1.4309918880462646,1.7826883792877197,0.028265876695513725,0.032516054809093475,0.7,0.9996,6934709.0,1.781640261237755,12.893386840820312
ConvNN-1452k,0.7006,1.7184573974609374,1.3968474864959717,1.73857843875885,0.028286311775445938,0.032486893236637115,0.7027,0.9998,7260990.5,1.7427876842620418,12.405643463134766
