model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),Gibbs test accuracy (%),Gibbs train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,expanded kl
ConvNN-579k,579129.0,last_layer,kron,0.1000000014901161,0.6753,0.99998,0.6755,0.99998,1.651931,2.254499,0.0435239,0.061243314,0.13960162109375,0.1680308826553821,0.106787568359375,2610,2.4421777778565152,57600.014904176656,19.386648178100586,299999.56,675052.2500000001,54.17170715332031,0.004146691584587098,2879937792.0
ConvNN-621k,621574.0,last_layer,kron,0.1000000014901161,0.6807,1.0,0.6809,1.0,1.5850669,2.1982348,0.0446146,0.06388243,0.1413026171875,0.1718397375655174,0.1079573046875,2690,2.4059400092846444,61832.33880039091,18.231128692626953,299999.75,659949.0625,55.25992965698242,0.003996245098114013,3091549696.0
ConvNN-654k,654141.0,last_layer,kron,0.1000000014901161,0.6743,1.0,0.6733,1.0,1.6584457,2.3110769,0.046113946,0.0671081,0.142402421875,0.1753742251896858,0.108266123046875,2780,2.527855792678327,65076.85583955005,20.1087646484375,299999.75,693279.25,57.11677932739258,0.003996772193908691,3253772288.0
ConvNN-699k,699207.0,last_layer,kron,0.1000000014901161,0.666,1.0,0.6663,1.0,1.6286182,2.328924,0.04861353,0.07213176,0.145580390625,0.183175276043415,0.111043515625,2860,2.5598347793979928,69571.04386070305,19.263492584228516,299999.75,698378.75,57.224761962890625,0.004142745780944824,3478477056.0
ConvNN-746k,746196.0,last_layer,kron,0.1000000014901161,0.6795,1.0,0.6797,1.0,1.526396,2.1824586,0.048853084,0.07254057,0.145279873046875,0.1824488573408126,0.109908291015625,2950,2.420361732669429,74256.28971039545,17.712697982788086,299999.75,651851.625,58.72359085083008,0.0039673474311828615,3712734720.0
ConvNN-781k,781406.0,last_layer,kron,0.1000000014901161,0.6818,0.99998,0.6817,0.99998,1.4864486,2.1564038,0.04933997,0.07398781,0.1490871484375,0.1871151848506927,0.113127373046875,3030,2.4151536736277257,77765.81079989926,17.481822967529297,299999.75,646779.6875,59.602943420410156,0.0038158122062683106,3888207104.0
ConvNN-830k,830585.0,last_layer,kron,0.1000000014901161,0.6756,1.0,0.6754,1.0,1.5282056,2.2256386,0.050790664,0.07623497,0.153924931640625,0.1933891266727447,0.11715416015625,3110,2.4990303895141213,82670.89852844094,18.03410530090332,299999.56,667037.125,59.934226989746094,0.003914709067344665,4133456384.0
ConvNN-868k,868171.0,last_layer,kron,0.1000000014901161,0.6849,1.0,0.6849,1.0,1.4431767,2.1240327,0.05194836,0.0788116,0.152898720703125,0.1942908781480789,0.11547927734375,3200,2.408688405545263,86416.79449147738,17.286640167236328,299999.75,636189.125,62.08385467529297,0.003777881360054016,4320747520.0
ConvNN-919k,919971.0,last_layer,kron,0.1000000014901161,0.685,1.0,0.685,1.0,1.4299558,2.1411736,0.05387617,0.08337173,0.15049564453125,0.1961038380336761,0.112732109375,3280,2.449511014200036,91583.69188225723,17.20966148376465,299999.75,643269.0,63.6486701965332,0.003768306827545166,4579087360.0
ConvNN-973k,973754.0,last_layer,kron,0.1000000014901161,0.6858,1.0,0.6851,1.0,1.4141948,2.1208878,0.05439529,0.08470964,0.15865458984375,0.2043785626482963,0.11966892578125,3370,2.434531801906084,96947.68193887477,16.736726760864258,299999.75,633411.25,64.04019165039062,0.0037740206718444823,4847281152.0
ConvNN-1013k,1013923.0,last_layer,kron,0.1000000014901161,0.6894,1.0,0.6896,1.0,1.3662645,2.1042213,0.056705877,0.08995713,0.1572552734375,0.208049076294899,0.118091943359375,3450,2.4447423120891014,100952.6449411524,16.648021697998047,299999.75,632469.4375,65.07131958007812,0.0037199323415756224,5047525376.0
ConvNN-1069k,1069836.0,last_layer,kron,0.1000000014901161,0.6879,0.99996,0.6872,0.99996,1.3491609,2.0814066,0.05729979,0.09207389,0.15699759765625,0.2087190340709686,0.116645146484375,3530,2.435590067557337,106530.4113696841,16.136463165283203,299999.75,624146.0,67.3382339477539,0.0036517773866653444,5326408192.0
ConvNN-1112k,1112441.0,last_layer,kron,0.1000000014901161,0.6863,1.0,0.6862,1.0,1.3079699,2.0643377,0.05991693,0.09742749,0.161449873046875,0.218160729560852,0.1207332421875,3620,2.4285686062206615,110777.72472404689,15.544088363647461,299999.75,617792.25,66.98998260498047,0.0037570921182632448,5538769408.0
ConvNN-1170k,1170975.0,last_layer,kron,0.1000000014901161,0.6958,0.99998,0.6956,0.99998,1.2937692,2.0404348,0.060118537,0.09879952,0.162226298828125,0.2195501930689811,0.120750673828125,3700,2.428804874451018,116617.35513408673,16.116077423095703,299999.75,612023.5,68.73236846923828,0.003638209891319275,5830745088.0
ConvNN-1231k,1231552.0,last_layer,kron,0.1000000014901161,0.6886,1.0,0.69,1.0,1.3083966,2.11096,0.0633985,0.10658431,0.1661015625,0.2310303066253662,0.12444599609375,3790,2.5148131004261995,122660.1139245848,16.7310791015625,299999.75,631783.1874999999,69.04419708251953,0.0037387139797210693,6132876800.0
ConvNN-1276k,1276680.0,last_layer,kron,0.1000000014901161,0.6836,1.0,0.6827,1.0,1.3019577,2.1299493,0.06494087,0.11036895,0.1688844140625,0.2368132099676132,0.1264442578125,3870,2.553623595250901,127160.44016937142,16.82977867126465,299999.75,638926.0,69.49586486816406,0.003725905442237854,6357888512.0
ConvNN-1339k,1339327.0,last_layer,kron,0.1000000014901161,0.692,1.0,0.692,1.0,1.2772689,2.087557,0.065685034,0.11257775,0.169026328125,0.2384283079195022,0.125850556640625,3950,2.5358736405148026,133410.95818603056,16.81112289428711,299999.75,627350.5,71.54910278320312,0.003589749789237976,6670408192.0
ConvNN-1386k,1386951.0,last_layer,kron,0.1000000014901161,0.6959,1.0,0.6959,1.0,1.2534565,2.0602717,0.066151544,0.11326738,0.16950015625,0.2388197207689285,0.12555234375,4040,2.5126100532464126,138159.6378214104,16.091733932495117,299999.75,615622.75,73.01826477050781,0.0035252099752426146,6907837440.0
ConvNN-1452k,1452219.0,last_layer,kron,0.1000000014901161,0.6996,0.99998,0.6995,0.99998,1.2231064,2.0001855,0.065020725,0.1100715,0.16858048828125,0.2339234557509422,0.123851953125,4120,2.4777094857172015,144671.9762877891,15.545829772949219,299999.75,598640.25,75.30308532714844,0.0036026293039321897,7233447936.0
