model,parameters,subset,hessian,prior precision,BMA test accuracy (%),BMA train accuracy (%),bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance,lambda,expected cumulant,expected norm,expected input-gradient norm,extended kl,extended bayes loss train,extended gibbs loss train,extended BMA train accuracy
ConvNN-548k,548878.0,last_layer,kron,100.0,0.667,1.0,2.038728,2.2200065,0.015373239,0.015941143,0.087127744140625,0.0872593510437011,0.0713182080078125,2530,2.765618841722568,54580.74720946241,18.628087997436523,99999.984,221981.09375,9.284658432006836,0.1524973587036132,2728979200.0,0.43155432,0.519881,0.86054
ConvNN-579k,579129.0,last_layer,kron,100.0,0.6768,1.0,1.9482126,2.1280704,0.015455274,0.01605202,0.0864895703125,0.0867603996199369,0.07070837890625,2610,2.7033512536121487,57594.83312135155,18.000720977783203,99999.984,212740.25,9.289633750915527,0.1479639266967773,2879680512.0,0.40859178,0.49557832,0.8655
ConvNN-621k,621574.0,last_layer,kron,100.0,0.6817,1.0,1.8850927,2.061997,0.015156138,0.01572051,0.084974990234375,0.0852023760896921,0.069481865234375,2690,2.680716400550391,61827.09318003905,16.67843246459961,100000.0,206244.54687500003,9.282088279724121,0.1415961654663086,3091289344.0,0.3842637,0.46774432,0.87096
ConvNN-654k,654141.0,last_layer,kron,100.0,0.6721,0.99998,1.9898943,2.1705232,0.01514603,0.015695909,0.0850669140625,0.0852458650928735,0.0695499560546875,2780,2.8212077240733944,65071.55365733941,18.40470314025879,100000.0,217049.21875,9.339570045471191,0.1413389282226562,3253509120.0,0.4009257,0.48643917,0.86678
ConvNN-699k,699207.0,last_layer,kron,100.0,0.6675,1.0,1.9788359,2.1726294,0.015028163,0.0156068355,0.084353095703125,0.0847640034532547,0.06915716796875,2860,2.867493858415075,69565.65146650751,17.469493865966797,100000.0,217183.734375,9.365987777709961,0.1459919387817382,3478209536.0,0.3897695,0.47967026,0.868
ConvNN-746k,746196.0,last_layer,kron,100.0,0.6807,1.0,1.8521142,2.018235,0.014549289,0.015033049,0.08398775390625,0.0841266813901066,0.0690936328125,2950,2.7611796819062655,74250.86254719397,15.979620933532715,99999.984,201867.06250000003,9.44672966003418,0.1393251480102539,3712465408.0,0.405401,0.48965526,0.86584
ConvNN-781k,781406.0,last_layer,kron,100.0,0.6845,1.0,1.8186333,1.9886405,0.01451057,0.015025469,0.082627451171875,0.0827429490119218,0.06771748046875,3030,2.7654930290168807,77760.3534408595,15.600090980529785,99999.984,198788.90624999997,9.401514053344727,0.1328712097167968,3887936512.0,0.37426305,0.4579554,0.87082
ConvNN-830k,830585.0,last_layer,kron,100.0,0.6759,1.0,1.8752748,2.0555174,0.014898539,0.015452672,0.0835698828125,0.0837777694523334,0.06832509765625,3110,2.8819040808831966,82665.34558831964,16.07250213623047,100000.0,205525.0625,9.456886291503906,0.1363913818359375,4133181184.0,0.3924546,0.48335662,0.86524
ConvNN-868k,868171.0,last_layer,kron,100.0,0.6868,1.0,1.7834829,1.9495162,0.014627876,0.015155813,0.082886142578125,0.0831054221004247,0.067949609375,3200,2.813054492336266,86411.18652965018,15.37348461151123,99999.984,194894.21875,9.511577606201172,0.1305342956542968,4320469504.0,0.37372515,0.45718768,0.87124
ConvNN-919k,919971.0,last_layer,kron,100.0,0.6848,0.99998,1.7944394,1.9530638,0.013884054,0.014314931,0.0814890869140625,0.0815720207297802,0.06725708984375,3280,2.869547691490955,91578.03477409555,15.097522735595703,100000.0,195376.73437499997,9.560107231140137,0.1299960502624511,4578806784.0,0.36120418,0.44006002,0.87648
ConvNN-973k,973754.0,last_layer,kron,100.0,0.6855,1.0,1.7639146,1.9293838,0.014697342,0.015225981,0.082600078125,0.0827325780418515,0.0675065966796875,3370,2.8993425357704092,96941.95670204093,14.72276782989502,100000.0,192992.296875,9.577435493469238,0.1298325241088867,4846997504.0,0.38459653,0.47108445,0.86956
ConvNN-1013k,1013923.0,last_layer,kron,100.0,0.6895,1.0,1.740314,1.9048111,0.013998095,0.014469326,0.081924052734375,0.0820943597221374,0.0676250341796875,3450,2.9136496447813394,100946.83947813396,14.406879425048828,100000.0,190418.125,9.647936820983887,0.1263799331665039,5047237632.0,0.36946774,0.45279628,0.8736
ConvNN-1069k,1069836.0,last_layer,kron,100.0,0.6896,0.99996,1.7215757,1.8740658,0.014366748,0.014822586,0.08211841796875,0.0821241440567374,0.0673015576171875,3530,2.939350597367471,106524.57630939402,13.926610946655273,99999.984,187410.4375,9.689935684204102,0.124002490234375,5326118912.0,0.38322136,0.4643638,0.8698
ConvNN-1112k,1112441.0,last_layer,kron,100.0,0.6876,1.0,1.6734228,1.8333961,0.014026446,0.014467745,0.080720576171875,0.0807409042677283,0.0662731591796875,3620,2.940947972407267,110771.81286572671,13.148231506347656,100000.0,183322.984375,9.683194160461426,0.127017756652832,5538476544.0,0.3892952,0.47734517,0.86724
ConvNN-1170k,1170975.0,last_layer,kron,100.0,0.6976,0.99998,1.6658857,1.8186262,0.014059965,0.01450104,0.080830068359375,0.0808053855732083,0.066304345703125,3700,2.984064028580881,116611.37160808808,13.731805801391602,100000.0,181795.03125,9.731037139892578,0.1221715255737304,5830448640.0,0.37951162,0.4644399,0.8696
ConvNN-1231k,1231552.0,last_layer,kron,100.0,0.6903,1.0,1.6946061,1.8644987,0.013751477,0.014212338,0.080725537109375,0.0808479046601057,0.06663556640625,3790,3.0914843088236927,122654.02463236927,14.106653213500977,100000.0,186494.40625,9.778003692626953,0.1251364837646484,6132575232.0,0.3662235,0.4567582,0.87266
ConvNN-1276k,1276680.0,last_layer,kron,100.0,0.6823,1.0,1.7010527,1.8737339,0.01370484,0.01416722,0.079628662109375,0.0797597056832909,0.0655924853515625,3870,3.145802202585021,127154.32735534267,14.174834251403809,99999.984,187425.84375,9.767553329467773,0.1237376586914062,6357585920.0,0.36490637,0.4556235,0.87418
ConvNN-1339k,1339327.0,last_layer,kron,100.0,0.6912,1.0,1.6766746,1.8374834,0.013841523,0.014307812,0.0807215087890625,0.0808554192781448,0.066547607421875,3950,3.1719715023942245,133404.77523942242,14.079272270202637,100000.0,183792.37500000003,9.864901542663574,0.1189246635437011,6670102016.0,0.3751809,0.46555984,0.87066
ConvNN-1386k,1386951.0,last_layer,kron,100.0,0.6974,0.99998,1.6433944,1.7983729,0.013653593,0.014084798,0.0795523681640625,0.079577503362,0.065492705078125,4040,3.1795355378227845,138153.41315727844,13.428838729858398,100000.0,179800.140625,9.868997573852539,0.116938638305664,6907529216.0,0.35344252,0.43787345,0.87626
ConvNN-1452k,1452219.0,last_layer,kron,100.0,0.7003,0.99998,1.6113013,1.7530426,0.01365167,0.014039972,0.07963724609375,0.0794613781157135,0.06542140625,4120,3.199370645419238,144665.7020517575,12.954133987426758,99999.984,175271.3125,9.920089721679688,0.1192466453552246,7233137152.0,0.37309557,0.45582202,0.87186
