label,map_acc_test,map_nll_test,bayes_loss_test,gibbs_loss_test,bayes_loss_train,gibbs_loss_train,bma_acc_test,bma_acc_train,kl
ConvNN-470k,0.6693,2.2288858154296873,"tensor(1.7410, device='cuda:0')","tensor(2.2166, device='cuda:0')","tensor(0.0429, device='cuda:0')","tensor(0.0526, device='cuda:0')",0.673,0.9998,2351660.75
ConvNN-508k,0.6682,2.22730009765625,"tensor(1.7287, device='cuda:0')","tensor(2.2010, device='cuda:0')","tensor(0.0394, device='cuda:0')","tensor(0.0481, device='cuda:0')",0.6709,0.9999,2543330.0
ConvNN-548k,0.6675,2.1828380493164063,"tensor(1.7029, device='cuda:0')","tensor(2.1572, device='cuda:0')","tensor(0.0362, device='cuda:0')","tensor(0.0435, device='cuda:0')",0.673,0.99988,2744285.75
ConvNN-579k,0.6762,2.089302893066406,"tensor(1.6500, device='cuda:0')","tensor(2.0815, device='cuda:0')","tensor(0.0355, device='cuda:0')","tensor(0.0425, device='cuda:0')",0.6792,0.9998,2895535.0
ConvNN-621k,0.6816,2.0229812744140623,"tensor(1.5963, device='cuda:0')","tensor(2.0213, device='cuda:0')","tensor(0.0347, device='cuda:0')","tensor(0.0414, device='cuda:0')",0.685,0.99994,3107814.0
ConvNN-654k,0.6721,2.1319803588867186,"tensor(1.6837, device='cuda:0')","tensor(2.1248, device='cuda:0')","tensor(0.0342, device='cuda:0')","tensor(0.0407, device='cuda:0')",0.6743,0.99994,3270575.0
ConvNN-699k,0.667,2.1308103271484375,"tensor(1.6851, device='cuda:0')","tensor(2.1268, device='cuda:0')","tensor(0.0335, device='cuda:0')","tensor(0.0396, device='cuda:0')",0.6685,0.9999,3495794.25
ConvNN-746k,0.6802,1.982021826171875,"tensor(1.5708, device='cuda:0')","tensor(1.9819, device='cuda:0')","tensor(0.0332, device='cuda:0')","tensor(0.0392, device='cuda:0')",0.6828,0.99992,3730729.25
ConvNN-781k,0.6844,1.9494025024414063,"tensor(1.5565, device='cuda:0')","tensor(1.9653, device='cuda:0')","tensor(0.0317, device='cuda:0')","tensor(0.0372, device='cuda:0')",0.6867,0.99998,3906797.25
ConvNN-830k,0.6757,2.0138078002929687,"tensor(1.6033, device='cuda:0')","tensor(2.0178, device='cuda:0')","tensor(0.0325, device='cuda:0')","tensor(0.0382, device='cuda:0')",0.6784,0.9999,4152690.75
ConvNN-868k,0.6857,1.9112928344726563,"tensor(1.5248, device='cuda:0')","tensor(1.9215, device='cuda:0')","tensor(0.0314, device='cuda:0')","tensor(0.0368, device='cuda:0')",0.6889,0.99996,4340657.0
ConvNN-919k,0.6852,1.9168188232421874,"tensor(1.5392, device='cuda:0')","tensor(1.9268, device='cuda:0')","tensor(0.0302, device='cuda:0')","tensor(0.0351, device='cuda:0')",0.6888,0.99994,4599659.0
ConvNN-973k,0.6859,1.8912361328125,"tensor(1.5164, device='cuda:0')","tensor(1.9065, device='cuda:0')","tensor(0.0302, device='cuda:0')","tensor(0.0351, device='cuda:0')",0.6872,0.99992,4868592.0
ConvNN-1013k,0.6896,1.8672854125976563,"tensor(1.4895, device='cuda:0')","tensor(1.8781, device='cuda:0')","tensor(0.0307, device='cuda:0')","tensor(0.0358, device='cuda:0')",0.6922,0.99992,5069364.5
ConvNN-1069k,0.69,1.8384564086914061,"tensor(1.4650, device='cuda:0')","tensor(1.8444, device='cuda:0')","tensor(0.0305, device='cuda:0')","tensor(0.0353, device='cuda:0')",0.695,0.9999,5348929.0
ConvNN-1112k,0.6875,1.7947238891601562,"tensor(1.4437, device='cuda:0')","tensor(1.8198, device='cuda:0')","tensor(0.0300, device='cuda:0')","tensor(0.0346, device='cuda:0')",0.69,0.99994,5561981.5
ConvNN-1170k,0.6966,1.7825670654296875,"tensor(1.4304, device='cuda:0')","tensor(1.8023, device='cuda:0')","tensor(0.0304, device='cuda:0')","tensor(0.0352, device='cuda:0')",0.6995,0.99994,5854704.0
ConvNN-1231k,0.6903,1.8241468383789063,"tensor(1.4649, device='cuda:0')","tensor(1.8435, device='cuda:0')","tensor(0.0297, device='cuda:0')","tensor(0.0344, device='cuda:0')",0.6916,0.99994,6157659.0
ConvNN-1276k,0.6821,1.8320090209960938,"tensor(1.4759, device='cuda:0')","tensor(1.8629, device='cuda:0')","tensor(0.0287, device='cuda:0')","tensor(0.0330, device='cuda:0')",0.6861,0.99998,6383300.0
ConvNN-1339k,0.6913,1.7982559326171874,"tensor(1.4413, device='cuda:0')","tensor(1.8105, device='cuda:0')","tensor(0.0300, device='cuda:0')","tensor(0.0347, device='cuda:0')",0.6946,0.99996,6696505.5
ConvNN-1386k,0.6974,1.7600393432617187,"tensor(1.4209, device='cuda:0')","tensor(1.7809, device='cuda:0')","tensor(0.0288, device='cuda:0')","tensor(0.0331, device='cuda:0')",0.7007,0.99988,6934711.0
ConvNN-1452k,0.7008,1.7184407958984376,"tensor(1.3847, device='cuda:0')","tensor(1.7370, device='cuda:0')","tensor(0.0289, device='cuda:0')","tensor(0.0332, device='cuda:0')",0.7023,0.99992,7260988.5
